t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143
0,1200,2400,7200,13800,12000,21000,27000,32400,35400,32400,39000,37200,42600,47400,52200,58200,64800,62400,68400,66000,63600,65400,73800,80400,87000,94200,99600,103800,105000,105000,108000,117000,123600,132000,136800,137400,144000,148800,150000,148200,154800,158400,162600,162600,162000,161400,168000,173400,182400,181800,186000,186600,190800,188400,195600,201000,202800,211800,212400,212400,220800,219600,225000,231600,230400,230400,232200,237000,236400,243600,252600,253800,257400,266400,265200,266400,264000,271800,276600,274200,282600,289200,287400,296400,303600,311400,318000,321000,322200,319800,320400,318000,322200,323400,323400,325200,330000,339000,345600,345000,349200,358200,364200,361800,361800,370800,379200,381600,384000,386400,391800,398400,406800,409800,412200,409200,417600,422400,423600,427200,425400,424800,421800,427200,430200,434400,432000,429600,427200,425400,422400,421800,429600,430800,437400,442800,448800,447600,445200,453000,454800,454200,459600
3600,9000,7800,9000,7800,13200,12000,10800,14400,15000,13800,15600,14400,13200,12000,16800,15600,21600,26400,28200,31200,30000,37200,37800,42000,40800,37800,44400,41400,49800,55800,54600,55200,54000,52800,61200,60000,58800,59400,58200,57000,62400,61200,69600,68400,75000,73800,75600,76800,75600,74400,73200,72000,72600,71400,70200,69000,67800,66600,65400,74400,73200,72000,70800,72000,70800,79800,84600,88800,87000,85800,84600,83400,87000,85800,86400,94800,93600,92400,93600,92400,91200,88200,91200,90000,96000,94800,99600,98400,97200,98400,103800,102600,101400,100200,100800,108000,115800,114000,121800,125400,124200,124800,133200,132000,138000,141600,142200,143400,150600,148200,155400,156600,160200,161400,162600,163800,165000,168000,166800,171000,172200,173400,179400,178200,186600,184200,193200,197400,198600,199800,207600,208800,210000,217200,221400,225600,234000,238200,235200,239400,243600,247800,252000
0,6600,12600,10800,18000,16200,21600,30600,28800,27000,25200,23400,21600,29400,27600,36600,33600,30600,28800,36000,34200,40200,48600,45600,42600,39600,36600,33600,30600,35400,32400,29400,26400,23400,25800,22800,19800,18600,21600,18600,18000,16800,23400,20400,17400,14400,11400,12600,9600,7800,6000,4200,4800,13800,12000,15000,13200,10200,16200,18600,16800,13800,19200,18600,25800,26400,27000,27600,28200,28800,36000,36600,40800,42000,43200,44400,48000,49200,55800,57000,58200,59400,62400,63600,64800,66000,67200,66600,70800,72000,73200,74400,75600,76800,83400,80400,85200,82200,81600,81000,78000,75000,76200,77400,78600,76800,80400,87600,84600,91200,88200,88200,90600,87600,84600,81600,78600,75600,76200,73200,70200,67200,64200,61200,58200,55200,54000,51000,48000,45000,42000,39000,44400,52200,49200,46200,55200,63600,60600,57600,54600,51600,48600,45600
0,0,5400,2400,0,0,0,0,0,0,0,0,0,0,1200,6600,3600,600,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,4200,1200,0,2400,0,7800,4800,13800,22800,24000,21000,18000,15000,12000,9000,6000,3000,3600,1200,0,0,2400,0,7200,9600,6600,9000,11400,13800,16200,18600,21000,23400,24600,32400,34800,37200,39600,42000,41400,40800,40800,40200,39600,37200,34800,32400,32400,30000,27600,25200,33600,31200,28800,26400,24000,21600,19200,16800,14400,12000,9600,7200,4800,4200,3600,3000,2400,1800,1200,600,4200,13200,12600,12000,11400,16800,16200,24000,23400,22800,22200,21600,21000,20400,19800,19200,20400,19800,19200,18600,18000,24600,30600,33000,33600,36000,38400,36000,38400,40800,40200,39600,42000,41400,40800,48600,48000,52200,51600,54600,54000
0,0,0,0,1800,0,0,0,0,0,4800,1800,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,9000,18000,27000,25200,23400,21600,19800,18000,16200,18000,16200,14400,12600,10800,9000,7200,5400,3600,9000,7200,5400,3600,1800,0,0,0,4800,3000,1200,0,0,6000,4200,12600,10800,9000,7200,5400,3600,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,4800,3600,2400,1200,0,0,0,0,0,0,0,1800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1200,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,0,600,0,600,0,600,0,600,0,0,600,0,600,0,600,0,600,0,6600,3600,2400,11400,20400,17400,14400,13200,10200,7200,4200,1200,0,600,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,21000,22200,23400,24600,25800,27000,28200,29400,30600,31800,33000,34200,35400,36600,37800,39000,40200,39000,36000,37200,38400,39600,40800,39600,40800,37800,39000,40200,41400,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,37200,38400,39600,40800,37800,39000,40200,37200,38400,41400,38400,43800
600,1200,1800,2400,0,600,0,600,0,600,0,4200,1200,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,4800,1800,0,600,0,600,9600,6600,3600,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,4200,3000,4200,3000,4200,3000,4200,3000,4200,5400,5400,5400,5400,6600,7800,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,6000,3000,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,5400,6000,6600,13200,13800,14400,15000,15600,16200
600,0,600,0,600,0,7800,4800,1800,0,600,0,600,6000,3000,0,600,2400,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200,0,600,1200,10200,10800,11400,12000,12600,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,16200,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,28200,28200,28200,28200,28200,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,38400,38400,38400,39000,39600,40200,39600,40200,40200,39600,36600,33600,30600,27600,24600,21600,18600,15600,12600
600,1200,1800,2400,3000,3600,4200,4800,5400,6000,3000,0,600,0,600,0,600,0,600,8400,5400,2400,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,6600,3600,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,4800,4200,3600,3000,2400,1800,1200,600,0,600,5400,4800,4200,3600,3000,2400,1200,0,600,4800,3600,2400,1200,0,600,0,600,0,0,600,1800,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,1200,1800,9000,9600,10200,10800,9600,10200,19200,19800,20400,21000,21600,22200,22800,23400,24000,24600,25200,25800,26400,23400
600,0,600,0,600,0,600,1200,1800,2400,3000,0,600,0,600,0,600,0,600,0,600,0,600,0,600,3000,0,600,0,600,0,1200,0,600,0,600,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,12600,13200,10200,7200,4200,3600,600,0,600,0,600,0,600,0,600,0,1800,0,600,0,600,0,600,0,600,0,1200,0,600,0,600,0,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600,2400,4200,6000,7800,9600,11400,13200,15000,16800,18600,20400,25200,27000,28800,30600,32400,34200,36000,33000,34800,36600,33600,35400,37200,34200,36000,41400,38400,39000,39600,40200,37200,37800,34800,35400,36000,33000
