t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287
0,0,2700,4200,4500,3000,3900,3000,6900,6000,4800,7200,9600,10500,14100,15900,18600,20400,24300,26100,25200,25200,28500,30300,33000,31500,33300,36600,35400,37800,40500,43800,46800,48000,49500,52200,55500,54600,56400,55500,55500,54000,53700,57600,60600,59100,61200,60300,61200,63900,66300,64800,66900,65700,66900,70800,69900,72300,72900,73500,74100,72900,74700,74700,75600,76500,80400,80400,78900,78300,80700,82800,86100,87300,86700,90000,90600,89700,88200,88200,90900,92400,92700,91800,92100,93000,94800,97500,100800,100200,100500,104400,106500,105900,104700,103200,103500,105300,104400,108900,111600,115500,119400,121800,125700,124200,126000,127500,131100,132000,131700,130200,129900,130800,130200,132000,132900,133200,133200,134400,136200,136200,137700,138000,139200,139500,140100,141300,145800,144900,144300,148200,152400,155700,156300,158100,159900,161700,163500,167700,167100,166800,165300,168900,172500,176700,179700,183900,185400,186900,189600,193800,192300,193200,192600,196800,201000,203700,208200,210000,214200,216900,219300,222900,224400,225300,229800,234300,235200,235800,240300,239700,243900,242700,241500,243300,247500,251700,253200,253200,252300,252300,251100,250800,254700,256800,261300,265200,269400,273000,276300,277800,278400,281100,282600,283200,281700,285900,289500,290100,293400,296100,296700,295200,296100,297000,297300,298200,298200,300300,304200,308700,308100,312000,316200,318000,320700,321000,321900,322200,325200,325800,326700,325500,325500,325500,325200,323700,327300,326700,328800,332700,334800,334200,333000,337200,337200,337800,339900,343200,342900,341400,342300,345000,347400,348600,348300,351900,353400,354600,358500,360000,364200,363300,365400,366600,366600,365100,368700,368100,371700,371400,371100,370500,369000,370200,373200,375300,376200,379200,383700,388200,391800,390900,393300,396600,400500,401400,400800,401400,404700,403800,403800,407700,411300,410400,410700,413100
0,4500,3000,1500,0,0,1800,300,0,4500,8100,7800,6300,4800,3300,1800,4800,3300,1800,300,2400,4800,9300,7800,9600,11700,16200,20400,23400,21900,20400,18900,22200,20700,19200,17700,21600,20400,19800,24000,22500,21000,19500,18000,16500,18900,20100,23700,22200,22200,20700,20100,18600,17100,15600,16200,14700,18000,16500,15000,13500,12000,14700,13200,15900,15000,16800,21300,24300,22800,21300,19800,24300,22800,21300,19800,21000,24600,23700,22200,20700,19200,20400,24900,24000,22500,21600,21000,19500,21900,25500,24000,24600,23700,25200,26100,27000,29100,28800,27300,27300,25800,27900,29100,28200,31500,30600,29700,28200,27300,30300,29400,32700,36300,35400,34500,34800,37500,36600,40500,43500,42000,40500,44700,47100,45600,44100,45900,49500,52200,56400,59400,61800,61800,65400,66300,65400,69300,70500,69000,71700,73200,71700,74700,73200,71700,70200,72900,74400,73200,74700,73200,71700,72300,73500,74700,73200,77400,80400,78900,77400,75900,74400,77100,81000,83400,81900,80400,78900,78900,80100,84000,88200,92700,91200,89700,90000,88500,91200,89700,88200,87900,86400,84900,83400,81900,80400,78900,80100,83400,81900,80400,78900,77400,78900,77400,76500,75900,74400,72900,76200,75300,78300,77100,75600,80100,78600,77100,76800,75300,73800,75600,78600,82200,80700,79200,77700,77100,75600,75600,76500,75000,73500,74100,74400,73200,72900,74100,73800,77400,80700,79200,78900,79500,81000,80700,81000,80700,80400,80100,78600,78900,81900,80400,81600,80100,81900,81900,80400,82800,81300,79800,79800,79500,79200,79500,78000,81600,80100,78600,81000,83700,85500,85500,84300,84000,86400,85200,87000,85800,84600,83400,83400,85200,87300,89100,87900,90600,89400,93900,92400,91200,95700,94500,93300,92100,90900,93300
300,3000,1500,2100,600,0,300,0,300,0,300,0,4200,2700,1200,2100,600,300,0,0,0,3000,3300,1800,300,0,0,0,0,0,0,0,0,300,0,0,300,0,300,0,0,0,0,0,0,0,0,0,0,0,2700,5400,3900,2400,900,0,0,0,0,0,0,0,0,0,1200,0,2400,900,0,2400,900,0,0,1200,0,2700,1200,0,2400,900,0,0,0,0,2400,3900,5400,6600,5100,7500,9900,8400,11700,10200,8700,7200,5700,8100,9300,13200,12900,12600,12300,12000,11700,15600,15300,15000,14700,14400,14100,13800,12300,12900,11400,9900,8400,6900,5400,3900,5400,3900,2400,900,0,0,0,0,0,0,0,0,0,3000,1500,0,0,0,900,0,3600,2100,1800,3000,5700,5400,6300,4800,3300,1800,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,2100,6000,6600,5100,3600,3300,4200,7800,6300,6000,5700,5400,5100,4800,4500,3000,1500,0,0,3300,1800,2400,900,0,0,0,0,0,2100,1500,900,300,1500,300,0,0,3000,7500,6900,7500,11400,10200,9000,12300,11100,10500,9900,8400,7800,7200,11400,10800,10200,8700,7200,8400,8100,6900,5700,4500,3000,1500,0,2400,2400,900,0,0,1500,4200,2700,1200,0,0,0,0,900,900,0,4200,2700,1200,0,0,0,0,0,0,0,1800,900,0,0,0,0,0,0,0,0,2100,600,0,0,600,0,4200,2700,1200,0,0,0,0,0,0,0,300,0,0,0,0
3900,3600,3300,3000,2700,5400,3900,3600,2700,1800,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,1500,3600,2100,600,0,0,0,0,0,0,2400,900,0,0,0,0,0,0,0,0,0,0,0,3000,3000,1500,0,0,0,3000,3000,1500,0,3300,1800,300,0,0,0,3000,1500,1500,0,0,0,0,0,0,4500,0,0,0,3000,1500,0,3000,1500,0,3000,1500,0,3000,5100,3600,2100,600,0,3000,1500,0,3000,1500,0,3000,1500,0,0,3000,1500,0,3600,2100,600,0,0,0,900,0,0,3000,1500,0,3000,3600,3600,2100,600,0,0,3600,2100,600,0,3600,2100,600,0,3600,2100,600,0,0,3600,2100,600,4200,4800,3300,3300,1800,300,0,1200,0,3600,2100,600,0,3600,2100,600,0,0,0,3600,7200,5700,4200,6900,5400,3900,5700,4200,2700,1200,0,0,0,0,0,0,0,300,0,600,0,3300,1800,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,2400,900,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,1500,300,0,0,0,0,0,0,0,0,0,2700,1200,0,0,0,0,3300,1800,3000,3900
300,0,300,0,300,0,300,0,300,0,600,0,300,3300,1800,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,3900,2400,6300,8100,6600,9600,8100,6600,5100,3600,2100,5100,4500,3900,3300,2700,2100,1500,900,300,0,300,0,300,0,300,0,3300,2700,2100,1500,900,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,4500,9000,8400,7800,7200,6600,6000,6000,5400,4800,4200,3600,3000,2400,1800,1200,600,1800,1200,600,0,300,0,2100,1500,900,300,0,300,0,300,900,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,3600,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,3300,3000,2700,1500,1200,900,600,300,0,300,0,300,0,300,0,300,1800,1500,1200,900,600,300,0,300,0,600,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,300,1500,900,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,2400,2700,2100,1500,900,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,0,300,0,3900,2700,1500,300,0,300,0,300,3600
300,0,300,0,300,0,300,0,300,0,300,0,300,0,3600,2700,3000,3300,2400,1500,600,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,600,900,1200,1500,1800,2100,1200,300,0,300,0,300,600,0,300,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,2700,3000,2100,5400,4500,4800,3900,4200,3300,3600,2700,3000,2100,2400,1500,1800,3000,0,0,4500,3600,3900,3000,2100,1200,900,0,300,0,300,4500,3600,3900,4200,4500,4800,3900,4200,4500,4200,3900,3600,3900,3600,3300,3000,3300,3600,3900,3600,6600,6300,6000,5700,5400,5100,4800,4500,4200,3900,3600,3900,4200,4500,4800,4500,4800,4500,4800,4500,4800,4500,4200,3900,3600,3300,3000,2700,2400,2100,1800,5400,5100,4800,4500,4200,3900,3600,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,4500,4200,3900,3600,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,3000,2400,2100,1800,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,2700,2400,2700,2400,2100,1800,1500,1200,900,600,300,3000,2700,4500,4200,3300,2400,1500,600,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,2100,1200,900,0,300,0,300,0
300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,3300,3000,2700,2400,2100,2400,2100,1800,1500,1800,900,1200,3600,2700,6000,5100,4200,3300,2400,1500,600,0,300,0,300,0,300,0,300,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,2700,1800,900,1200,0,300,0,300,2700,2100,1500,900,300,0,300,1500,900,300,0,300,0,300,0,4500,9000,13500,12600,11700,10800,9900,9000,8100,7200,6300,5400,4500,3600,2700,1800,900,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,600,300,600,300,600,300,600,300,600,3600,2700,2400,2100,1800,1500,1200,3000,2700,2400,2100,1800,2100,1800,2100,1800,2100,1800,2100,1800,2100,1800,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,3600,3300,3600,3300,3600,3300,3600,3300,3600,3300,3000,2700,2400,2100,1800,1500,1200,900,1200,900,1200,900,1200,900,600,300,600,300,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,4200,3300,2400,1500,600,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5100,4200,5700,4800,3900,3000,3000,3000,3000,3000,3000,2100,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,600,0,1200,300,0,300,0,300,0,300,0,1200,600,0,4200,5400,4500,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3900,3900,3900,3900,3900,3900,4200,4200,4200,4500,4500,4500,4800,3600,3300,3600,3300,3000,3300,3000,2700,3000,2700,2400,2700,2400,2100,2400,2100,1800,2100,1800,1500,1800,1500,1200,1500,1200,900,1200,900,600,300,0,300,1200,900,600,4200,3900,3600,8100,7800,7500,7200,6900,6600,6900,6600,6300,6000,5700,5400,5700,5400,5100,4800,4500,4200,4500,4200,3900,4200,3900,3600,3900,3600,3300,3600,3300,3000,3300,3000,2700,2400,2100,1800,1500,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,600,300,0,300,0,300,0,300,2700,2400,2100,2400,2100,2400,2100,2400,2100,2400,2100,2400,2700,3000,3300,7800,7500,7200,6900,6600,6300,6000,5700,4500,4200,3900,3600,3900,4200,4500,9000,8700
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1500,600,0,300,300,0,300,300,300,0,300,300,4200,3300,2400,1500,600,600,600,600,600,0,300,0,300,0,300,0,300,0,300,3600,2100,1200,300,0,300,0,300,0,300,0,300,0,300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,4200,3900,3600,3300,3000,2700,2400,2100,1800,1500,1200,1200,900,600,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,3000,2700,2400,2100,2100,1800,1500,1500,1200,900,600,300,0,300,0,300,0,300,2700,2700,2700,2700,2700,2700,3900,3600,5100,4800,4500,4200,4200,3900,3600,3300,3300,3000,3000,2700,2700,2400,2400,2100,2100,1200,1200,300,300,300,300,300,300,0,300,0,300,0,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,4200,4200,4200,4200,4200,4200,4200,6900,5400,3900,2400,2100,600,0,300,300,300,300,300,1200,300,0,300,300,300,0,300,0,300,0,300,0,0,0,0,3000,2100,1200,300,0,0,0,0,0,0,300,0,300,0,300,300,300,300,300,4500,4500,4500,4500,4500,4500,4500,4500,5700,5700,5700,5700,5700,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,7200,7200,7200,7200,7200,6300,6300,6300,6300,6300,6300,6300,5700,5100,4500,3900,3300,2700,2100,1500,900,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,0,300,0,300,0,300,0,300,0,300,0,300,3000,2400,1800,1200,600,0,300,0,300,0,300,0,2700,2100,900,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,1500,900,300,0,300,300,1800,1200,600,0,300,300,0,300,0,300,2700,2100,1500,900,300,0,300,0,0,300,0,300
